PRISM Time Series Data
Location:  Lat: 39.0154   Lon: -79.4619   Elev: 982m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2018-07-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1981-01-01,5.31,-4.7,-2.2,0.3
1981-01-02,11.67,-6.5,-4.2,-1.8
1981-01-03,1.78,-11.0,-7.7,-4.5
1981-01-04,2.04,-19.0,-9.8,-0.7
1981-01-05,0.00,-22.0,-18.9,-15.9
1981-01-06,0.00,-20.6,-15.1,-9.6
1981-01-07,5.14,-14.0,-6.7,0.6
1981-01-08,2.64,-18.8,-11.1,-3.5
1981-01-09,0.00,-19.8,-14.3,-8.7
1981-01-10,1.98,-14.7,-10.3,-6.0
1981-01-11,0.78,-20.4,-15.6,-10.8
1981-01-12,1.14,-21.5,-17.0,-12.6
1981-01-13,0.00,-22.3,-17.3,-12.2
1981-01-14,1.31,-16.0,-10.7,-5.3
1981-01-15,1.05,-7.8,-3.4,1.0
1981-01-16,1.53,-6.2,-4.3,-2.4
1981-01-17,3.28,-11.8,-7.3,-2.8
1981-01-18,1.15,-13.0,-11.2,-9.3
1981-01-19,0.00,-13.6,-8.0,-2.5
1981-01-20,0.00,-10.3,-2.8,4.8
1981-01-21,4.31,-4.6,-0.1,4.4
1981-01-22,2.08,-1.5,0.2,1.8
1981-01-23,0.00,-3.5,-1.5,0.6
1981-01-24,2.33,-5.0,-3.5,-2.0
1981-01-25,0.00,-9.7,-4.9,-0.1
1981-01-26,0.00,-7.5,1.1,9.8
1981-01-27,0.00,-0.8,5.0,10.7
1981-01-28,0.00,-7.3,-0.4,6.5
1981-01-29,0.00,-7.7,-2.9,1.9
1981-01-30,1.69,-15.0,-9.7,-4.4
1981-01-31,0.00,-17.4,-11.8,-6.2
1981-02-01,0.00,-16.8,-7.6,1.6
1981-02-02,18.52,-5.1,0.2,5.4
1981-02-03,4.79,-17.4,-9.2,-1.0
1981-02-04,0.76,-17.4,-15.2,-13.1
1981-02-05,0.51,-17.4,-13.5,-9.6
1981-02-06,0.00,-17.0,-11.1,-5.2
1981-02-07,0.00,-12.3,-7.3,-2.3
1981-02-08,0.91,-10.3,-3.1,4.2
1981-02-09,6.16,-16.8,-8.9,-1.0
1981-02-10,0.00,-15.3,-8.2,-1.1
1981-02-11,6.17,-3.4,2.9,9.2
1981-02-12,8.24,-21.5,-5.7,10.1
1981-02-13,0.00,-21.4,-15.8,-10.2
1981-02-14,0.00,-17.0,-6.9,3.2
1981-02-15,0.00,-9.0,-0.3,8.4
1981-02-16,0.00,-7.9,1.8,11.6
1981-02-17,1.22,-3.6,5.2,14.1
1981-02-18,2.77,2.2,5.8,9.4
1981-02-19,0.00,1.4,9.2,17.0
1981-02-20,5.24,2.3,6.9,11.5
1981-02-21,22.23,0.8,3.2,5.7
1981-02-22,0.89,0.3,2.3,4.2
1981-02-23,0.00,2.5,7.7,12.9
1981-02-24,12.73,-1.4,3.5,8.3
1981-02-25,1.89,-2.0,-0.4,1.3
1981-02-26,0.00,-5.3,-0.9,3.4
1981-02-27,0.00,-7.2,-3.1,1.0
1981-02-28,0.00,-6.1,2.4,10.9
1981-03-01,20.14,-0.5,6.1,12.8
1981-03-02,0.00,-1.8,-0.7,0.4
1981-03-03,2.42,-7.3,-4.1,-1.0
1981-03-04,0.00,-9.2,-5.5,-1.8
1981-03-05,9.91,-6.9,-2.0,2.9
1981-03-06,6.89,-5.0,-2.5,0.1
1981-03-07,0.78,-7.6,-4.5,-1.5
1981-03-08,0.00,-7.4,-5.3,-3.2
1981-03-09,0.68,-5.2,-3.3,-1.4
1981-03-10,0.40,-4.6,-2.2,0.2
1981-03-11,2.19,-3.4,-1.0,1.4
1981-03-12,3.47,-7.8,-4.0,-0.3
1981-03-13,0.00,-6.5,0.1,6.7
1981-03-14,1.03,-8.1,1.2,10.6
1981-03-15,0.00,-8.8,-4.9,-0.9
1981-03-16,3.48,-2.8,4.2,11.3
1981-03-17,4.56,-8.5,-3.7,1.0
1981-03-18,5.66,-11.0,-6.3,-1.7
1981-03-19,1.30,-10.2,-5.9,-1.6
1981-03-20,4.89,-9.9,-7.2,-4.6
1981-03-21,4.92,-8.6,-5.9,-3.2
1981-03-22,0.00,-10.3,-4.7,0.9
1981-03-23,0.00,-7.4,-2.4,2.7
1981-03-24,0.00,-6.2,-0.2,5.8
1981-03-25,0.00,-4.6,0.5,5.6
1981-03-26,0.00,-5.9,0.0,5.9
1981-03-27,28.59,-3.3,4.3,11.9
1981-03-28,0.91,-5.1,2.1,9.3
1981-03-29,0.00,-3.4,6.6,16.6
1981-03-30,1.19,5.6,13.1,20.6
1981-03-31,4.30,5.6,10.6,15.7
1981-04-01,0.00,3.6,12.1,20.6
1981-04-02,9.20,4.2,10.0,15.7
1981-04-03,0.00,1.0,8.3,15.7
1981-04-04,0.00,3.8,13.9,24.0
1981-04-05,7.76,9.8,16.9,23.9
1981-04-06,3.82,-1.4,6.2,13.9
1981-04-07,0.00,-6.7,-1.1,4.6
1981-04-08,0.00,-3.4,6.0,15.5
1981-04-09,0.00,5.9,14.0,22.2
1981-04-10,8.29,-1.6,6.3,14.2
1981-04-11,6.07,1.1,10.1,19.0
1981-04-12,22.07,11.8,16.9,21.9
1981-04-13,18.92,6.0,12.5,19.0
1981-04-14,4.21,5.3,9.3,13.2
1981-04-15,7.84,-1.9,9.0,19.9
1981-04-16,0.00,-4.6,2.2,9.0
1981-04-17,2.24,-0.3,9.1,18.4
1981-04-18,18.98,10.8,12.7,14.6
1981-04-19,0.00,0.1,9.3,18.5
1981-04-20,10.49,3.2,9.8,16.3
1981-04-21,0.00,-6.0,1.2,8.3
1981-04-22,0.00,-3.1,4.6,12.4
1981-04-23,1.89,2.6,8.2,13.8
1981-04-24,14.62,7.4,12.6,17.9
1981-04-25,10.14,0.5,5.7,10.9
1981-04-26,0.00,-2.6,1.7,6.0
1981-04-27,10.44,-1.2,6.9,15.0
1981-04-28,0.00,7.5,13.8,20.0
1981-04-29,0.00,9.1,16.8,24.4
1981-04-30,8.31,6.9,12.5,18.1
1981-05-01,7.03,5.6,10.2,14.7
1981-05-02,16.20,-2.1,3.5,9.2
1981-05-03,0.00,-3.8,2.7,9.2
1981-05-04,0.00,-1.6,7.6,16.8
1981-05-05,0.00,1.6,12.8,24.0
1981-05-06,0.81,7.0,15.7,24.3
1981-05-07,4.43,-1.9,5.4,12.7
1981-05-08,0.00,-2.6,5.8,14.3
1981-05-09,0.00,0.2,8.6,17.0
1981-05-10,0.00,4.7,12.9,21.2
1981-05-11,4.50,9.7,13.8,17.8
1981-05-12,10.89,5.5,12.8,20.0
1981-05-13,0.83,1.2,4.1,7.1
1981-05-14,0.00,3.8,10.9,18.0
1981-05-15,19.17,7.7,16.3,24.9
1981-05-16,2.71,6.0,9.3,12.7
1981-05-17,1.58,2.7,6.5,10.3
1981-05-18,0.00,4.2,10.9,17.7
1981-05-19,21.23,4.4,6.7,9.0
1981-05-20,14.82,2.7,4.3,6.0
1981-05-21,0.00,0.0,8.1,16.3
1981-05-22,0.00,1.1,10.4,19.8
1981-05-23,0.00,3.7,12.5,21.2
1981-05-24,0.00,6.3,14.5,22.8
1981-05-25,0.00,8.3,17.0,25.6
1981-05-26,0.00,9.9,17.5,25.0
1981-05-27,9.81,12.3,18.4,24.6
1981-05-28,9.17,13.3,16.4,19.6
1981-05-29,17.15,12.8,15.3,17.8
1981-05-30,4.36,9.4,12.6,15.8
1981-05-31,18.33,11.1,17.3,23.5
1981-06-01,3.11,6.2,12.5,18.9
1981-06-02,7.16,7.9,11.5,15.0
1981-06-03,1.67,12.1,17.6,23.2
1981-06-04,12.70,14.0,19.1,24.1
1981-06-05,20.12,13.5,17.3,21.0
1981-06-06,26.64,14.3,19.1,23.9
1981-06-07,16.33,11.0,14.5,17.9
1981-06-08,0.00,7.2,14.5,21.9
1981-06-09,4.82,9.4,17.1,24.8
1981-06-10,29.51,13.6,18.5,23.4
1981-06-11,3.25,11.4,16.8,22.2
1981-06-12,0.00,11.5,15.9,20.2
1981-06-13,0.00,13.1,18.9,24.7
1981-06-14,26.40,16.9,21.7,26.4
1981-06-15,12.53,16.7,21.4,26.1
1981-06-16,0.00,15.5,21.7,27.9
1981-06-17,2.48,13.4,20.7,28.0
1981-06-18,0.00,8.1,14.2,20.3
1981-06-19,0.00,10.0,17.6,25.3
1981-06-20,26.60,14.4,20.4,26.3
1981-06-21,7.76,13.2,17.0,20.9
1981-06-22,15.54,14.1,20.0,26.0
1981-06-23,3.85,9.7,16.5,23.4
1981-06-24,0.00,9.3,15.9,22.4
1981-06-25,0.00,11.2,18.6,25.9
1981-06-26,12.07,10.5,18.2,25.8
1981-06-27,0.00,4.4,11.1,17.9
1981-06-28,0.00,5.2,12.7,20.1
1981-06-29,0.00,6.7,15.0,23.3
1981-06-30,0.00,10.0,17.4,24.8
1981-07-01,20.99,10.2,17.3,24.5
1981-07-02,11.40,10.9,15.3,19.6
1981-07-03,3.05,12.9,17.2,21.6
1981-07-04,0.15,13.7,18.0,22.3
1981-07-05,2.40,14.1,18.8,23.5
1981-07-06,11.60,14.9,17.2,19.6
1981-07-07,0.00,14.9,19.5,24.1
1981-07-08,0.00,14.4,19.9,25.4
1981-07-09,0.00,15.6,21.2,26.8
